,Club,Elo
0,Real Madrid,1924.28979492
1,Barcelona,1866.37524414
2,Depor,1862.13293457
3,Sociedad,1855.59631348
4,Valencia,1840.42175293
5,Celta,1815.95385742
6,Bilbao,1781.53186035
7,Betis,1773.24536133
8,Sevilla,1761.65698242
9,Mallorca,1757.28857422
10,Malaga,1753.54504395
11,Espanyol,1741.34667969
12,Valladolid,1732.25085449
13,Osasuna,1731.06225586
14,Villarreal,1721.7791748
15,Santander,1712.24291992
16,Atletico,1711.68933105
17,Murcia,1684.6505127
18,Zaragoza,1657.12365723
19,Albacete,1640.99072266
