,Club,Elo
0,Barcelona,1866.69177246
1,Real Madrid,1832.55444336
2,Depor,1763.73950195
3,Betis,1757.13037109
4,Atletico,1737.64099121
5,Valencia,1711.18737793
6,Bilbao,1710.02282715
7,Valladolid,1705.20129395
8,Tenerife,1699.62658691
9,Sociedad,1694.74963379
10,Espanyol,1664.6270752
11,Compostela,1661.50366211
12,Zaragoza,1655.45385742
13,Celta,1650.27258301
14,Gijon,1623.70129395
15,Santander,1621.38977051
16,Oviedo,1611.48059082
17,Salamanca,1611.39367676
18,Merida,1573.01782227
19,Mallorca,1570.4083252
