,Club,Elo
0,Real Madrid,2089.26635742
1,Barcelona,2072.03515625
2,Atletico,1849.09509277
3,Valencia,1812.59106445
4,Bilbao,1765.9119873
5,Malaga,1756.20861816
6,Sevilla,1752.60546875
7,Mallorca,1749.29907227
8,Osasuna,1742.00646973
9,Depor,1737.86547852
10,Levante,1732.78161621
11,Betis,1715.63830566
12,Valladolid,1714.49938965
13,Zaragoza,1706.93347168
14,Celta,1703.18188477
15,Getafe,1700.09179688
16,Sociedad,1699.56384277
17,Espanyol,1693.43603516
18,Rayo Vallecano,1658.1295166
19,Granada,1641.9309082
