,Club,Elo
0,Real Madrid,1938.07788086
1,Barcelona,1913.69177246
2,Atletico,1895.42712402
3,Sevilla,1847.52929688
4,Villarreal,1823.54174805
5,Sociedad,1761.44580078
6,Betis,1740.60021973
7,Celta,1721.60791016
8,Bilbao,1709.68444824
9,Valencia,1701.11633301
10,Osasuna,1685.16015625
11,Granada,1674.59533691
12,Getafe,1669.05395508
13,Levante,1664.71276855
14,Espanyol,1648.59558105
15,Alaves,1633.82214355
16,Mallorca,1629.65905762
17,Cadiz,1611.36071777
18,Rayo Vallecano,1599.37963867
19,Elche,1594.79760742
