,Club,Elo
0,Real Madrid,1933.16711426
1,Villarreal,1894.02770996
2,Barcelona,1892.29309082
3,Sevilla,1887.80285645
4,Mallorca,1828.28234863
5,Atletico,1821.80371094
6,Depor,1777.66357422
7,Santander,1775.87109375
8,Getafe,1769.00561523
9,Valencia,1756.79943848
10,Bilbao,1754.58081055
11,Betis,1744.92260742
12,Almeria,1741.51867676
13,Osasuna,1732.21105957
14,Recreativo,1729.37963867
15,Valladolid,1724.56237793
16,Espanyol,1717.45837402
17,Gijon,1644.00634766
18,Numancia,1642.18908691
19,Malaga,1621.51586914
