,Club,Elo
0,Barcelona,1779.70947266
1,Atletico,1758.69458008
2,Valencia,1751.44689941
3,Real Madrid,1746.39282227
4,Espanyol,1719.79724121
5,Depor,1707.13427734
6,Tenerife,1702.9888916
7,Sociedad,1683.65087891
8,Betis,1659.16357422
9,Celta,1637.55432129
10,Sevilla,1634.08630371
11,Zaragoza,1631.57006836
12,Bilbao,1614.64758301
13,Valladolid,1607.24597168
14,Oviedo,1596.91149902
15,Compostela,1589.32897949
16,Santander,1587.1114502
17,Gijon,1564.55078125
18,Rayo Vallecano,1553.10949707
19,Hercules,1519.31213379
20,Logrones,1518.85998535
21,Extremadura,1463.18933105
