,Club,Elo
0,Barcelona,2027.35180664
1,Real Madrid,2023.03540039
2,Atletico,1931.45422363
3,Valencia,1799.12536621
4,Sevilla,1764.94909668
5,Villarreal,1761.2286377
6,Sociedad,1732.07580566
7,Espanyol,1729.28710938
8,Betis,1725.65625
9,Eibar,1725.38684082
10,Getafe,1721.54418945
11,Celta,1718.53796387
12,Alaves,1706.61645508
13,Bilbao,1700.27709961
14,Levante,1695.1114502
15,Girona,1664.15368652
16,Leganes,1634.9498291
17,Valladolid,1621.17712402
18,Rayo Vallecano,1609.44897461
19,Huesca,1604.29528809
