,Club,Elo
0,Barcelona,2018.15246582
1,Real Madrid,1942.41625977
2,Valencia,1801.37084961
3,Sevilla,1784.72595215
4,Mallorca,1768.98034668
5,Getafe,1748.03259277
6,Atletico,1745.72180176
7,Villarreal,1739.45349121
8,Bilbao,1689.03369141
9,Zaragoza,1687.72912598
10,Espanyol,1682.19055176
11,Osasuna,1673.1550293
12,Malaga,1671.4342041
13,Almeria,1663.56896973
14,Santander,1658.9017334
15,Depor,1656.02148438
16,Hercules,1643.96569824
17,Levante,1621.06530762
18,Sociedad,1620.8079834
19,Gijon,1616.0949707
