,Club,Elo
0,Barcelona,1999.93322754
1,Atletico,1877.13037109
2,Real Madrid,1840.5534668
3,Valencia,1812.35949707
4,Getafe,1759.92773438
5,Sevilla,1747.28918457
6,Espanyol,1738.32519531
7,Villarreal,1731.56445312
8,Bilbao,1720.72399902
9,Sociedad,1718.13562012
10,Eibar,1711.48266602
11,Betis,1685.2010498
12,Levante,1684.5892334
13,Alaves,1682.11157227
14,Celta,1679.86791992
15,Leganes,1669.49926758
16,Osasuna,1640.35351562
17,Valladolid,1616.05786133
18,Granada,1598.46203613
19,Mallorca,1565.66552734
