,Club,Elo
0,Valencia,1904.35961914
1,Barcelona,1887.36669922
2,Real Madrid,1884.02099609
3,Zaragoza,1847.78417969
4,Depor,1844.93652344
5,Celta,1810.32678223
6,Mallorca,1800.35192871
7,Espanyol,1785.89489746
8,Bilbao,1778.6628418
9,Sociedad,1777.34143066
10,Alaves,1773.22387695
11,Valladolid,1765.68286133
12,Santander,1754.87438965
13,Malaga,1736.41564941
14,Oviedo,1723.44885254
15,Rayo Vallecano,1715.14794922
16,Numancia,1690.12548828
17,Las Palmas,1652.87939453
18,Villarreal,1651.90979004
19,Osasuna,1615.90625
