,Club,Elo
0,Barcelona,1972.20227051
1,Real Madrid,1851.96179199
2,Sevilla,1834.87036133
3,Atletico,1833.00341797
4,Villarreal,1806.88916016
5,Mallorca,1771.8404541
6,Valencia,1766.98193359
7,Espanyol,1736.51855469
8,Depor,1727.06616211
9,Zaragoza,1722.9251709
10,Santander,1722.38464355
11,Osasuna,1713.32885742
12,Getafe,1705.23486328
13,Malaga,1690.80615234
14,Almeria,1689.83911133
15,Bilbao,1674.35864258
16,Valladolid,1671.56872559
17,Tenerife,1655.36499023
18,Xerez,1653.63562012
19,Gijon,1620.74865723
