,Club,Elo
0,Barcelona,1871.51257324
1,Real Madrid,1804.66833496
2,Valencia,1787.46606445
3,Espanyol,1781.73486328
4,Celta,1780.50109863
5,Mallorca,1779.2121582
6,Bilbao,1771.65979004
7,Depor,1768.33398438
8,Sociedad,1752.65148926
9,Zaragoza,1739.69812012
10,Atletico,1734.00805664
11,Valladolid,1691.49267578
12,Betis,1688.30712891
13,Santander,1644.41882324
14,Oviedo,1641.93774414
15,Alaves,1622.96691895
16,Sevilla,1583.22314453
17,Malaga,1581.43237305
18,Rayo Vallecano,1560.98901367
19,Numancia,1551.61584473
