,Club,Elo
0,Real Madrid,2075.30761719
1,Barcelona,2024.79772949
2,Atletico,1975.83508301
3,Sevilla,1845.33789062
4,Bilbao,1841.38012695
5,Sociedad,1807.25097656
6,Valencia,1803.5447998
7,Villarreal,1783.34313965
8,Malaga,1753.95898438
9,Celta,1748.88037109
10,Levante,1740.72717285
11,Getafe,1715.49243164
12,Espanyol,1701.20617676
13,Rayo Vallecano,1698.21398926
14,Almeria,1688.40087891
15,Elche,1682.12097168
16,Granada,1672.5012207
17,Depor,1647.80505371
18,Eibar,1626.61437988
19,Cordoba,1604.32849121
