,Club,Country,Level,Elo
2,Barcelona,ESP,1,1866.69177246
7,Real Madrid,ESP,1,1832.55444336
19,Depor,ESP,1,1763.73950195
20,Betis,ESP,1,1757.13037109
30,Atletico,ESP,1,1737.64099121
40,Valencia,ESP,1,1711.18737793
42,Bilbao,ESP,1,1710.02282715
43,Valladolid,ESP,1,1705.20129395
46,Tenerife,ESP,1,1699.62658691
51,Sociedad,ESP,1,1694.74963379
64,Espanyol,ESP,1,1664.6270752
65,Compostela,ESP,1,1661.50366211
68,Zaragoza,ESP,1,1655.45385742
71,Celta,ESP,1,1650.27258301
92,Gijon,ESP,1,1623.70129395
94,Santander,ESP,1,1621.38977051
102,Oviedo,ESP,1,1611.48059082
103,Salamanca,ESP,1,1611.39367676
139,Merida,ESP,1,1573.01782227
144,Mallorca,ESP,1,1570.4083252
