,Club,Elo
0,Valencia,1943.23278809
1,Barcelona,1892.17028809
2,Depor,1885.51501465
3,Real Madrid,1858.45800781
4,Sevilla,1818.22814941
5,Bilbao,1801.85461426
6,Villarreal,1796.56359863
7,Betis,1796.03442383
8,Sociedad,1790.98669434
9,Malaga,1767.38037109
10,Atletico,1765.36694336
11,Mallorca,1764.89611816
12,Espanyol,1753.10668945
13,Osasuna,1750.44555664
14,Zaragoza,1737.6463623
15,Albacete,1729.78564453
16,Santander,1711.22436523
17,Levante,1703.50390625
18,Numancia,1683.63659668
19,Getafe,1674.2767334
