,Club,Elo
0,Depor,1771.60656738
1,Real Madrid,1766.50976562
2,Barcelona,1737.57995605
3,Sevilla,1685.68286133
4,Zaragoza,1676.99230957
5,Betis,1667.43933105
6,Espanyol,1648.3013916
7,Bilbao,1645.85668945
8,Valencia,1645.81286621
9,Sociedad,1635.84973145
10,Oviedo,1626.35205078
11,Atletico,1621.46008301
12,Santander,1613.07348633
13,Celta,1593.30969238
14,Tenerife,1592.27746582
15,Rayo Vallecano,1574.55603027
16,Albacete,1573.63879395
17,Merida,1563.4642334
18,Compostela,1546.31286621
19,Gijon,1518.19421387
20,Valladolid,1497.51660156
21,Salamanca,1445.03808594
