,Club,Elo
0,Barcelona,1972.82653809
1,Real Madrid,1885.06555176
2,Sevilla,1884.14453125
3,Valencia,1856.36584473
4,Villarreal,1831.41748047
5,Celta,1795.98913574
6,Atletico,1771.72814941
7,Osasuna,1767.45483398
8,Getafe,1764.1652832
9,Depor,1757.7755127
10,Bilbao,1757.34729004
11,Betis,1728.06494141
12,Zaragoza,1727.44616699
13,Mallorca,1725.45800781
14,Espanyol,1713.99450684
15,Recreativo,1703.49291992
16,Sociedad,1703.12573242
17,Santander,1695.60852051
18,Levante,1664.46801758
19,Tarragona,1645.53234863
