,Club,Elo
0,Real Madrid,1923.41748047
1,Valencia,1895.93457031
2,Mallorca,1892.35803223
3,Depor,1883.2322998
4,Barcelona,1866.79626465
5,Celta,1841.83007812
6,Alaves,1789.07312012
7,Malaga,1788.75964355
8,Espanyol,1778.97680664
9,Zaragoza,1778.17541504
10,Sociedad,1774.39794922
11,Villarreal,1773.80175781
12,Valladolid,1748.79321289
13,Bilbao,1728.31030273
14,Rayo Vallecano,1726.25
15,Las Palmas,1703.18615723
16,Betis,1703.1751709
17,Osasuna,1702.3248291
18,Sevilla,1691.25158691
19,Tenerife,1656.29992676
