,Club,Elo
0,Barcelona,2038.83691406
1,Real Madrid,2021.36218262
2,Atletico,1834.46044922
3,Valencia,1820.26721191
4,Sociedad,1802.97009277
5,Malaga,1760.33447266
6,Betis,1732.55554199
7,Sevilla,1731.11206055
8,Espanyol,1695.39892578
9,Villarreal,1690.96447754
10,Bilbao,1683.34228516
11,Osasuna,1681.58032227
12,Levante,1675.90966797
13,Getafe,1673.47192383
14,Rayo Vallecano,1672.94055176
15,Valladolid,1661.40319824
16,Granada,1660.96435547
17,Almeria,1660.19445801
18,Celta,1654.33789062
19,Elche,1614.94104004
