,Club,Elo
0,Barcelona,1967.29516602
1,Real Madrid,1924.12243652
2,Atletico,1900.59448242
3,Sevilla,1829.91381836
4,Villarreal,1773.65966797
5,Getafe,1747.0982666
6,Sociedad,1742.5411377
7,Valencia,1736.0012207
8,Bilbao,1722.82141113
9,Granada,1716.82714844
10,Levante,1700.94824219
11,Osasuna,1698.04101562
12,Eibar,1686.83520508
13,Celta,1671.14038086
14,Betis,1668.77770996
15,Leganes,1665.91601562
16,Valladolid,1656.05456543
17,Alaves,1644.4588623
18,Espanyol,1610.46020508
19,Mallorca,1606.6763916
