,Club,Elo
0,Barcelona,2087.81201172
1,Real Madrid,2062.75976562
2,Atletico,1945.57995605
3,Sevilla,1917.51953125
4,Valencia,1889.33300781
5,Bilbao,1804.46154785
6,Villarreal,1777.4810791
7,Celta,1772.20446777
8,Sociedad,1749.71582031
9,Espanyol,1742.4005127
10,Malaga,1722.17553711
11,Rayo Vallecano,1704.49963379
12,Gijon,1698.81799316
13,Betis,1697.25268555
14,Levante,1684.70275879
15,Granada,1670.06970215
16,Las Palmas,1664.96801758
17,Depor,1661.60803223
18,Getafe,1655.7911377
19,Eibar,1621.92053223
