,Club,Elo
0,Barcelona,1824.984375
1,Real Madrid,1794.49047852
2,Valencia,1718.20947266
3,Atletico,1693.96716309
4,Depor,1684.26721191
5,Tenerife,1638.41320801
6,Sevilla,1626.52001953
7,Bilbao,1613.95422363
8,Sociedad,1596.44067383
9,Osasuna,1588.97888184
10,Logrones,1580.52563477
11,Oviedo,1576.12255859
12,Albacete,1571.52587891
13,Zaragoza,1571.34631348
14,Lleida,1557.22290039
15,Celta,1554.57446289
16,Gijon,1553.82397461
17,Valladolid,1551.12939453
18,Rayo Vallecano,1531.23999023
19,Santander,1480.97912598
