,Club,Elo
0,Barcelona,1972.23950195
1,Real Madrid,1929.92700195
2,Sevilla,1914.97900391
3,Villarreal,1867.69714355
4,Valencia,1865.93041992
5,Atletico,1818.43884277
6,Zaragoza,1815.98046875
7,Espanyol,1804.61999512
8,Osasuna,1800.59350586
9,Getafe,1795.12854004
10,Recreativo,1784.17932129
11,Mallorca,1772.71960449
12,Depor,1761.68945312
13,Santander,1750.86706543
14,Bilbao,1741.53552246
15,Betis,1734.26757812
16,Valladolid,1721.87695312
17,Levante,1714.31188965
18,Almeria,1688.97119141
19,Murcia,1652.67285156
