,Club,Elo
0,Valencia,1903.14733887
1,Real Madrid,1900.32299805
2,Depor,1874.43554688
3,Barcelona,1861.10290527
4,Celta,1812.34411621
5,Malaga,1784.07250977
6,Betis,1769.70812988
7,Sociedad,1762.83898926
8,Sevilla,1761.23168945
9,Rayo Vallecano,1759.25463867
10,Alaves,1743.99768066
11,Mallorca,1739.46728516
12,Espanyol,1738.99829102
13,Valladolid,1723.70288086
14,Villarreal,1720.09106445
15,Bilbao,1711.83886719
16,Santander,1697.46911621
17,Osasuna,1696.10461426
18,Atletico,1681.13647461
19,Recreativo,1640.29284668
