Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG
D1,18/11/17,Leverkusen,RB Leipzig,2,2,D,1
D1,18/11/17,Mainz,FC Koln,1,0,H,1
D1,18/11/17,Wolfsburg,Freiburg,3,1,H,2
D1,19/11/17,Schalke 04,Hamburg,2,0,H,1
D1,19/11/17,Werder Bremen,Hannover,4,0,H,1
D1,24/11/17,Hannover,Stuttgart,1,1,D,0
D1,25/11/17,Augsburg,Wolfsburg,2,1,H,0
D1,25/11/17,Dortmund,Schalke 04,4,4,D,4
D1,25/11/17,Ein Frankfurt,Leverkusen,0,1,A,0
D1,25/11/17,Freiburg,Mainz,2,1,H,0
D1,25/11/17,M'gladbach,Bayern Munich,2,1,H,2
D1,25/11/17,RB Leipzig,Werder Bremen,2,0,H,1
D1,26/11/17,FC Koln,Hertha,0,2,A,0
D1,26/11/17,Hamburg,Hoffenheim,3,0,H,1
D1,01/12/17,Freiburg,Hamburg,0,0,D,0
D1,02/12/17,Bayern Munich,Hannover,3,1,H,1
D1,02/12/17,Hoffenheim,RB Leipzig,4,0,H,1
D1,02/12/17,Leverkusen,Dortmund,1,1,D,1
D1,02/12/17,Mainz,Augsburg,1,3,A,0
D1,02/12/17,Schalke 04,FC Koln,2,2,D,1
D1,02/12/17,Werder Bremen,Stuttgart,1,0,H,1
D1,03/12/17,Hertha,Ein Frankfurt,1,2,A,1
D1,03/12/17,Wolfsburg,M'gladbach,3,0,H,2
D1,08/12/17,Stuttgart,Leverkusen,0,2,A,0
D1,09/12/17,Dortmund,Werder Bremen,1,2,A,0
D1,09/12/17,Ein Frankfurt,Bayern Munich,0,1,A,0
D1,09/12/17,Hamburg,Wolfsburg,0,0,D,0
D1,09/12/17,M'gladbach,Schalke 04,1,1,D,1
D1,09/12/17,RB Leipzig,Mainz,2,2,D,2
D1,10/12/17,Augsburg,Hertha,1,1,D,0
D1,10/12/17,FC Koln,Freiburg,3,4,A,3
D1,10/12/17,Hannover,Hoffenheim,2,0,H,0
D1,12/12/17,Freiburg,M'gladbach,1,0,H,1
D1,12/12/17,Hamburg,Ein Frankfurt,1,2,A,1
D1,12/12/17,Mainz,Dortmund,0,2,A,0
D1,12/12/17,Wolfsburg,RB Leipzig,1,1,D,1
D1,13/12/17,Bayern Munich,FC Koln,1,0,H,0
D1,13/12/17,Hertha,Hannover,3,1,H,2
D1,13/12/17,Hoffenheim,Stuttgart,1,0,H,0
D1,13/12/17,Leverkusen,Werder Bremen,1,0,H,1
D1,13/12/17,Schalke 04,Augsburg,3,2,H,1
D1,15/12/17,M'gladbach,Hamburg,3,1,H,1
D1,16/12/17,Augsburg,Freiburg,3,3,D,1
D1,16/12/17,Dortmund,Hoffenheim,2,1,H,0
D1,16/12/17,Ein Frankfurt,Schalke 04,2,2,D,1
D1,16/12/17,FC Koln,Wolfsburg,1,0,H,0
D1,16/12/17,Stuttgart,Bayern Munich,0,1,A,0
D1,16/12/17,Werder Bremen,Mainz,2,2,D,2
D1,17/12/17,Hannover,Leverkusen,4,4,D,3
D1,17/12/17,RB Leipzig,Hertha,2,3,A,0
D1,12/01/18,Leverkusen,Bayern Munich,1,3,A,0
D1,13/01/18,Augsburg,Hamburg,1,0,H,1
D1,13/01/18,Ein Frankfurt,Freiburg,1,1,D,1
