Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG
D2,28/07/17,Bochum,St Pauli,0,1,A,0
D2,29/07/17,Bielefeld,Regensburg,2,1,H,1
D2,29/07/17,Darmstadt,Greuther Furth,1,0,H,0
D2,29/07/17,Ingolstadt,Union Berlin,0,1,A,0
D2,30/07/17,Dresden,Duisburg,1,0,H,0
D2,30/07/17,Holstein Kiel,Sandhausen,2,2,D,0
D2,30/07/17,Nurnberg,Kaiserslautern,3,0,H,2
D2,31/07/17,Fortuna Dusseldorf,Braunschweig,2,2,D,1
D2,04/08/17,Kaiserslautern,Darmstadt,1,1,D,1
D2,04/08/17,Sandhausen,Ingolstadt,1,0,H,0
D2,04/08/17,Union Berlin,Holstein Kiel,4,3,H,3
D2,05/08/17,Braunschweig,Heidenheim,2,0,H,1
D2,05/08/17,Duisburg,Bochum,1,1,D,1
D2,06/08/17,Erzgebirge Aue,Fortuna Dusseldorf,0,2,A,0
D2,06/08/17,Greuther Furth,Bielefeld,1,2,A,0
D2,06/08/17,Regensburg,Nurnberg,0,1,A,0
D2,07/08/17,St Pauli,Dresden,2,2,D,1
D2,09/08/17,Heidenheim,Erzgebirge Aue,2,1,H,1
D2,18/08/17,Braunschweig,Erzgebirge Aue,1,1,D,1
D2,18/08/17,Darmstadt,St Pauli,3,0,H,1
D2,19/08/17,Dresden,Sandhausen,0,4,A,0
D2,19/08/17,Fortuna Dusseldorf,Kaiserslautern,2,0,H,1
D2,19/08/17,Heidenheim,Duisburg,1,2,A,0
D2,20/08/17,Holstein Kiel,Greuther Furth,3,1,H,2
D2,20/08/17,Ingolstadt,Regensburg,2,4,A,0
D2,20/08/17,Nurnberg,Union Berlin,2,2,D,0
D2,21/08/17,Bielefeld,Bochum,2,0,H,2
D2,25/08/17,Duisburg,Darmstadt,1,2,A,1
D2,25/08/17,Greuther Furth,Ingolstadt,0,1,A,0
D2,26/08/17,Erzgebirge Aue,Nurnberg,3,1,H,0
D2,26/08/17,Regensburg,Holstein Kiel,1,2,A,1
D2,26/08/17,St Pauli,Heidenheim,1,0,H,0
D2,27/08/17,Bochum,Dresden,3,2,H,2
D2,27/08/17,Sandhausen,Fortuna Dusseldorf,1,2,A,1
D2,27/08/17,Union Berlin,Bielefeld,1,1,D,0
D2,28/08/17,Kaiserslautern,Braunschweig,1,1,D,0
D2,08/09/17,Dresden,Greuther Furth,1,1,D,1
D2,08/09/17,Heidenheim,Regensburg,1,3,A,0
D2,09/09/17,Bielefeld,Duisburg,0,4,A,0
D2,09/09/17,Holstein Kiel,Kaiserslautern,2,1,H,1
D2,09/09/17,Ingolstadt,Erzgebirge Aue,1,2,A,0
D2,10/09/17,Braunschweig,Sandhausen,1,1,D,0
D2,10/09/17,Darmstadt,Bochum,1,2,A,1
D2,10/09/17,Fortuna Dusseldorf,Union Berlin,3,2,H,1
D2,11/09/17,Nurnberg,St Pauli,0,1,A,0
D2,15/09/17,Erzgebirge Aue,Holstein Kiel,0,3,A,0
D2,15/09/17,Union Berlin,Braunschweig,1,1,D,0
D2,16/09/17,Duisburg,Nurnberg,1,6,A,0
D2,16/09/17,Sandhausen,Kaiserslautern,1,0,H,0
D2,16/09/17,St Pauli,Ingolstadt,0,4,A,0
D2,17/09/17,Bochum,Heidenheim,1,2,A,1
D2,17/09/17,Darmstadt,Bielefeld,4,3,H,1
D2,17/09/17,Greuther Furth,Fortuna Dusseldorf,3,1,H,2
D2,17/09/17,Regensburg,Dresden,0,2,A,0
D2,19/09/17,Holstein Kiel,St Pauli,0,1,A,0
D2,19/09/17,Ingolstadt,Duisburg,2,2,D,1
D2,19/09/17,Kaiserslautern,Erzgebirge Aue,0,2,A,0
D2,19/09/17,Sandhausen,Union Berlin,1,0,H,0
D2,20/09/17,Braunschweig,Greuther Furth,3,0,H,2
D2,20/09/17,Dresden,Bielefeld,0,2,A,0
D2,20/09/17,Fortuna Dusseldorf,Regensburg,1,0,H,0
D2,20/09/17,Heidenheim,Darmstadt,2,2,D,1
D2,21/09/17,Nurnberg,Bochum,3,1,H,1
D2,22/09/17,Duisburg,Holstein Kiel,1,3,A,0
D2,22/09/17,Erzgebirge Aue,Sandhausen,1,0,H,1
D2,23/09/17,Bielefeld,Heidenheim,1,1,D,0
D2,23/09/17,Regensburg,Braunschweig,2,1,H,0
D2,23/09/17,St Pauli,Fortuna Dusseldorf,1,2,A,1
D2,24/09/17,Bochum,Ingolstadt,2,0,H,2
D2,24/09/17,Darmstadt,Dresden,3,3,D,1
D2,24/09/17,Greuther Furth,Nurnberg,1,3,A,0
D2,25/09/17,Union Berlin,Kaiserslautern,5,0,H,4
D2,29/09/17,Ingolstadt,Darmstadt,3,0,H,1
D2,29/09/17,Kaiserslautern,Greuther Furth,3,0,H,0
D2,30/09/17,Erzgebirge Aue,Union Berlin,1,2,A,0
D2,30/09/17,Holstein Kiel,Bochum,3,0,H,2
D2,30/09/17,Nurnberg,Bielefeld,1,2,A,0
D2,01/10/17,Braunschweig,St Pauli,0,2,A,0
D2,01/10/17,Heidenheim,Dresden,0,2,A,0
D2,01/10/17,Sandhausen,Regensburg,2,0,H,0
D2,02/10/17,Fortuna Dusseldorf,Duisburg,3,1,H,2
D2,13/10/17,Duisburg,Braunschweig,0,0,D,0
D2,13/10/17,St Pauli,Kaiserslautern,1,1,D,0
D2,14/10/17,Bielefeld,Fortuna Dusseldorf,0,2,A,0
D2,14/10/17,Bochum,Sandhausen,2,0,H,1
D2,14/10/17,Dresden,Ingolstadt,2,2,D,1
D2,15/10/17,Greuther Furth,Erzgebirge Aue,2,1,H,1
D2,15/10/17,Heidenheim,Holstein Kiel,3,5,A,1
D2,15/10/17,Regensburg,Union Berlin,0,2,A,0
D2,16/10/17,Darmstadt,Nurnberg,3,4,A,1
D2,20/10/17,Fortuna Dusseldorf,Darmstadt,1,0,H,1
D2,20/10/17,Ingolstadt,Heidenheim,3,0,H,1
D2,21/10/17,Braunschweig,Bochum,1,0,H,1
D2,21/10/17,Holstein Kiel,Bielefeld,2,1,H,0
D2,21/10/17,Union Berlin,Greuther Furth,3,1,H,2
D2,22/10/17,Erzgebirge Aue,Regensburg,1,0,H,0
D2,22/10/17,Kaiserslautern,Duisburg,0,1,A,0
D2,22/10/17,Nurnberg,Dresden,2,1,H,1
D2,23/10/17,Sandhausen,St Pauli,1,1,D,0
D2,27/10/17,Bielefeld,Ingolstadt,1,3,A,1
D2,27/10/17,St Pauli,Erzgebirge Aue,1,1,D,1
D2,28/10/17,Darmstadt,Holstein Kiel,1,1,D,1
D2,28/10/17,Greuther Furth,Sandhausen,2,1,H,1
D2,28/10/17,Regensburg,Kaiserslautern,3,1,H,2
D2,29/10/17,Dresden,Braunschweig,1,1,D,1
D2,29/10/17,Duisburg,Union Berlin,1,1,D,0
D2,29/10/17,Heidenheim,Nurnberg,1,0,H,0
D2,30/10/17,Bochum,Fortuna Dusseldorf,0,0,D,0
D2,03/11/17,Kaiserslautern,Bochum,0,0,D,0
D2,03/11/17,Sandhausen,Duisburg,0,1,A,0
D2,04/11/17,Braunschweig,Darmstadt,2,2,D,1
D2,04/11/17,Regensburg,Greuther Furth,3,2,H,2
D2,04/11/17,Union Berlin,St Pauli,1,0,H,0
D2,05/11/17,Erzgebirge Aue,Bielefeld,1,1,D,1
D2,05/11/17,Fortuna Dusseldorf,Heidenheim,2,2,D,0
D2,05/11/17,Holstein Kiel,Dresden,3,0,H,1
D2,06/11/17,Nurnberg,Ingolstadt,1,2,A,1
D2,17/11/17,Bielefeld,Braunschweig,2,2,D,1
D2,17/11/17,Darmstadt,Sandhausen,1,2,A,0
D2,18/11/17,Bochum,Greuther Furth,1,1,D,1
D2,18/11/17,Heidenheim,Union Berlin,4,3,H,1
D2,18/11/17,Nurnberg,Holstein Kiel,2,2,D,0
D2,19/11/17,Duisburg,Erzgebirge Aue,3,0,H,0
D2,19/11/17,Ingolstadt,Fortuna Dusseldorf,1,0,H,1
D2,19/11/17,St Pauli,Regensburg,2,2,D,2
D2,20/11/17,Dresden,Kaiserslautern,1,2,A,1
D2,24/11/17,Sandhausen,Heidenheim,1,2,A,1
D2,24/11/17,Union Berlin,Darmstadt,3,3,D,1
D2,25/11/17,Braunschweig,Nurnberg,2,3,A,1
D2,25/11/17,Holstein Kiel,Ingolstadt,0,0,D,0
D2,25/11/17,Regensburg,Duisburg,4,0,H,3
D2,26/11/17,Erzgebirge Aue,Bochum,1,1,D,1
D2,26/11/17,Greuther Furth,St Pauli,4,0,H,2
D2,26/11/17,Kaiserslautern,Bielefeld,0,2,A,0
D2,27/11/17,Fortuna Dusseldorf,Dresden,1,3,A,1
D2,01/12/17,Bielefeld,St Pauli,5,0,H,1
D2,01/12/17,Heidenheim,Kaiserslautern,3,2,H,0
D2,02/12/17,Duisburg,Greuther Furth,2,0,H,2
D2,02/12/17,Holstein Kiel,Fortuna Dusseldorf,2,2,D,0
D2,02/12/17,Nurnberg,Sandhausen,1,0,H,0
D2,03/12/17,Bochum,Union Berlin,2,1,H,1
D2,03/12/17,Darmstadt,Regensburg,0,1,A,0
D2,03/12/17,Dresden,Erzgebirge Aue,4,0,H,2
D2,04/12/17,Ingolstadt,Braunschweig,0,2,A,0
D2,08/12/17,Braunschweig,Holstein Kiel,0,0,D,0
D2,08/12/17,Erzgebirge Aue,Darmstadt,1,0,H,1
D2,09/12/17,Greuther Furth,Heidenheim,1,0,H,1
D2,09/12/17,Regensburg,Bochum,0,1,A,0
D2,09/12/17,Union Berlin,Dresden,0,1,A,0
D2,10/12/17,Kaiserslautern,Ingolstadt,1,1,D,1
D2,10/12/17,Sandhausen,Bielefeld,3,1,H,1
D2,10/12/17,St Pauli,Duisburg,2,2,D,0
D2,11/12/17,Fortuna Dusseldorf,Nurnberg,0,2,A,0
D2,15/12/17,Braunschweig,Fortuna Dusseldorf,0,1,A,0
D2,15/12/17,Union Berlin,Ingolstadt,1,2,A,0
D2,16/12/17,Erzgebirge Aue,Heidenheim,1,1,D,1
D2,16/12/17,Kaiserslautern,Nurnberg,1,1,D,0
D2,16/12/17,Regensburg,Bielefeld,3,2,H,2
D2,17/12/17,Duisburg,Dresden,2,0,H,1
D2,17/12/17,Greuther Furth,Darmstadt,1,1,D,1
D2,17/12/17,Sandhausen,Holstein Kiel,3,1,H,0
D2,18/12/17,St Pauli,Bochum,2,1,H,1
D2,23/01/18,Bochum,Duisburg,0,2,A,0
D2,23/01/18,Holstein Kiel,Union Berlin,2,2,D,2
D2,23/01/18,Ingolstadt,Sandhausen,0,0,D,0
D2,23/01/18,Nurnberg,Regensburg,2,2,D,1
D2,24/01/18,Bielefeld,Greuther Furth,0,0,D,0
D2,24/01/18,Fortuna Dusseldorf,Erzgebirge Aue,2,1,H,1
D2,24/01/18,Heidenheim,Braunschweig,2,0,H,0
D2,25/01/18,Dresden,St Pauli,1,3,A,0
D2,26/01/18,Regensburg,Ingolstadt,3,2,H,0
D2,26/01/18,Union Berlin,Nurnberg,0,1,A,0
D2,27/01/18,Duisburg,Heidenheim,3,3,D,1
D2,27/01/18,Greuther Furth,Holstein Kiel,0,0,D,0
D2,27/01/18,Kaiserslautern,Fortuna Dusseldorf,1,3,A,0
D2,28/01/18,Erzgebirge Aue,Braunschweig,1,3,A,1
D2,28/01/18,Sandhausen,Dresden,1,0,H,0
D2,28/01/18,St Pauli,Darmstadt,0,1,A,0
D2,29/01/18,Bochum,Bielefeld,0,1,A,0
D2,02/02/18,Fortuna Dusseldorf,Sandhausen,1,0,H,1
D2,02/02/18,Nurnberg,Erzgebirge Aue,4,1,H,1
D2,03/02/18,Heidenheim,St Pauli,3,1,H,2
D2,03/02/18,Holstein Kiel,Regensburg,1,1,D,1
D2,03/02/18,Ingolstadt,Greuther Furth,3,0,H,1
D2,04/02/18,Braunschweig,Kaiserslautern,1,2,A,0
D2,04/02/18,Darmstadt,Duisburg,1,2,A,1
D2,04/02/18,Dresden,Bochum,2,0,H,1
D2,05/02/18,Bielefeld,Union Berlin,1,1,D,0
D2,09/02/18,Bochum,Darmstadt,2,1,H,0
D2,09/02/18,Kaiserslautern,Holstein Kiel,3,1,H,2
D2,10/02/18,Duisburg,Bielefeld,2,2,D,0
D2,10/02/18,Regensburg,Heidenheim,2,0,H,1
D2,10/02/18,Union Berlin,Fortuna Dusseldorf,3,1,H,0
D2,11/02/18,Erzgebirge Aue,Ingolstadt,0,0,D,0
D2,11/02/18,Greuther Furth,Dresden,1,0,H,1
D2,11/02/18,Sandhausen,Braunschweig,0,0,D,0
D2,12/02/18,St Pauli,Nurnberg,0,0,D,0
D2,16/02/18,Heidenheim,Bochum,1,0,H,1
D2,16/02/18,Kaiserslautern,Sandhausen,0,1,A,0
D2,17/02/18,Bielefeld,Darmstadt,2,0,H,1
D2,17/02/18,Fortuna Dusseldorf,Greuther Furth,1,1,D,0
D2,17/02/18,Holstein Kiel,Erzgebirge Aue,2,2,D,2
D2,17/02/18,Ingolstadt,St Pauli,0,1,A,0
D2,18/02/18,Braunschweig,Union Berlin,1,0,H,1
D2,18/02/18,Dresden,Regensburg,1,0,H,0
D2,18/02/18,Nurnberg,Duisburg,3,1,H,2
D2,21/02/18,Darmstadt,Kaiserslautern,1,2,A,0
D2,23/02/18,Bielefeld,Dresden,2,3,A,1
D2,23/02/18,Regensburg,Fortuna Dusseldorf,4,3,H,2
D2,24/02/18,Duisburg,Ingolstadt,2,1,H,1
D2,24/02/18,Erzgebirge Aue,Kaiserslautern,2,1,H,1
D2,24/02/18,Greuther Furth,Braunschweig,2,1,H,1
D2,24/02/18,Union Berlin,Sandhausen,2,1,H,2
D2,25/02/18,Bochum,Nurnberg,0,0,D,0
D2,25/02/18,Darmstadt,Heidenheim,1,1,D,0
D2,25/02/18,St Pauli,Holstein Kiel,3,2,H,1
D2,02/03/18,Dresden,Darmstadt,0,2,A,0
D2,02/03/18,Kaiserslautern,Union Berlin,4,3,H,2
D2,03/03/18,Holstein Kiel,Duisburg,5,0,H,2
D2,03/03/18,Nurnberg,Greuther Furth,0,2,A,0
D2,03/03/18,Sandhausen,Erzgebirge Aue,1,1,D,0
D2,04/03/18,Braunschweig,Regensburg,2,1,H,1
D2,04/03/18,Fortuna Dusseldorf,St Pauli,2,1,H,1
D2,04/03/18,Heidenheim,Bielefeld,2,2,D,1
D2,05/03/18,Ingolstadt,Bochum,0,1,A,0
D2,09/03/18,Bielefeld,Nurnberg,1,0,H,0
D2,09/03/18,Dresden,Heidenheim,3,2,H,2
D2,10/03/18,Bochum,Holstein Kiel,1,1,D,1
D2,10/03/18,Darmstadt,Ingolstadt,1,1,D,0
D2,10/03/18,Greuther Furth,Kaiserslautern,2,1,H,1
D2,10/03/18,St Pauli,Braunschweig,0,0,D,0
D2,11/03/18,Duisburg,Fortuna Dusseldorf,1,2,A,0
D2,11/03/18,Regensburg,Sandhausen,2,1,H,1
D2,11/03/18,Union Berlin,Erzgebirge Aue,0,0,D,0
D2,16/03/18,Fortuna Dusseldorf,Bielefeld,4,2,H,1
D2,16/03/18,Holstein Kiel,Heidenheim,2,1,H,2
D2,17/03/18,Kaiserslautern,St Pauli,1,1,D,0
D2,17/03/18,Sandhausen,Bochum,2,3,A,2
D2,17/03/18,Union Berlin,Regensburg,2,2,D,1
D2,18/03/18,Braunschweig,Duisburg,3,2,H,3
D2,18/03/18,Ingolstadt,Dresden,4,2,H,2
D2,18/03/18,Nurnberg,Darmstadt,1,1,D,0
D2,19/03/18,Erzgebirge Aue,Greuther Furth,2,1,H,2
D2,31/03/18,Dresden,Nurnberg,1,1,D,1
D2,31/03/18,Duisburg,Kaiserslautern,1,4,A,0
D2,31/03/18,Heidenheim,Ingolstadt,1,2,A,0
D2,01/04/18,Bielefeld,Holstein Kiel,1,1,D,1
D2,01/04/18,Bochum,Braunschweig,2,0,H,1
D2,01/04/18,Greuther Furth,Union Berlin,2,1,H,1
D2,01/04/18,Regensburg,Erzgebirge Aue,1,3,A,0
D2,01/04/18,St Pauli,Sandhausen,1,1,D,1
D2,02/04/18,Darmstadt,Fortuna Dusseldorf,1,0,H,1
D2,06/04/18,Fortuna Dusseldorf,Bochum,1,2,A,0
