Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG
D2,15/08/2008,Aachen,Wehen,2,1,H,1
D2,15/08/2008,Mainz,Kaiserslautern ,3,3,D,3
D2,15/08/2008,St Pauli,Osnabruck,2,2,D,2
D2,17/08/2008,Ahlen,Frankfurt FSV,2,1,H,0
D2,17/08/2008,Freiburg,Munich 1860,2,1,H,1
D2,17/08/2008,Ingolstadt,Greuther Furth,3,2,H,2
D2,17/08/2008,Koblenz,Oberhausen,3,0,H,2
D2,17/08/2008,Nurnberg,Augsburg,2,1,H,1
D2,18/08/2008,Duisburg,Hansa Rostock,2,2,D,1
D2,22/08/2008,Frankfurt FSV,Koblenz,0,0,D,0
D2,22/08/2008,Greuther Furth,St Pauli,5,2,H,1
D2,22/08/2008,Osnabruck,Freiburg,2,2,D,0
D2,24/08/2008,Augsburg,Ahlen,3,0,H,2
D2,24/08/2008,Hansa Rostock,Aachen,1,0,H,0
D2,24/08/2008,Munich 1860,Mainz,1,2,A,0
D2,24/08/2008,Oberhausen,Ingolstadt,2,1,H,2
D2,24/08/2008,Wehen,Duisburg,1,1,D,1
D2,25/08/2008,Kaiserslautern,Nurnberg,2,1,H,2
D2,29/08/2008,Duisburg,Augsburg,2,0,H,1
D2,29/08/2008,Ingolstadt,Kaiserslautern ,1,3,A,1
D2,29/08/2008,Mainz,Osnabruck,4,2,H,2
D2,31/08/2008,Ahlen,Munich 1860,2,1,H,0
D2,31/08/2008,Frankfurt FSV,Greuther Furth,1,1,D,1
D2,31/08/2008,Koblenz,Wehen,0,0,D,0
D2,31/08/2008,Nurnberg,Aachen,2,2,D,0
D2,31/08/2008,St Pauli,Oberhausen,4,1,H,3
D2,01/09/2008,Freiburg,Hansa Rostock,1,0,H,1
D2,12/09/2008,Aachen,Ingolstadt,1,0,H,1
D2,12/09/2008,Kaiserslautern,St Pauli,4,1,H,1
D2,12/09/2008,Oberhausen,Ahlen,1,3,A,1
D2,14/09/2008,Augsburg,Freiburg,1,3,A,1
D2,14/09/2008,Greuther Furth,Koblenz,4,3,H,3
D2,14/09/2008,Hansa Rostock,Mainz,2,2,D,0
D2,14/09/2008,Osnabruck,Frankfurt FSV,3,2,H,1
D2,14/09/2008,Wehen,Nurnberg,2,2,D,2
D2,15/09/2008,Munich 1860,Duisburg,2,0,H,0
D2,19/09/2008,Ahlen,Hansa Rostock,2,2,D,1
D2,19/09/2008,Duisburg,Aachen,3,2,H,3
D2,19/09/2008,Koblenz,Augsburg,2,1,H,2
D2,19/09/2008,Mainz,Nurnberg,2,0,H,1
D2,19/09/2008,St Pauli,Munich 1860,1,0,H,1
D2,21/09/2008,Frankfurt FSV,Oberhausen,3,1,H,1
D2,21/09/2008,Freiburg,Wehen,5,0,H,1
D2,21/09/2008,Ingolstadt,Osnabruck,2,1,H,1
D2,22/09/2008,Greuther Furth,Kaiserslautern ,0,1,A,0
D2,26/09/2008,Hansa Rostock,St Pauli,3,0,H,1
D2,26/09/2008,Oberhausen,Greuther Furth,0,4,A,0
D2,26/09/2008,Osnabruck,Koblenz,1,0,H,1
D2,28/09/2008,Aachen,Freiburg,1,0,H,0
D2,28/09/2008,Augsburg,Mainz,0,2,A,0
D2,28/09/2008,Kaiserslautern,Frankfurt FSV,2,1,H,0
D2,28/09/2008,Munich 1860,Ingolstadt,1,1,D,1
D2,28/09/2008,Wehen,Ahlen,1,3,A,0
D2,29/09/2008,Nurnberg,Duisburg,0,1,A,0
D2,03/10/2008,Frankfurt FSV,Munich 1860,0,3,A,0
D2,03/10/2008,Freiburg,Duisburg,2,0,H,1
D2,03/10/2008,Oberhausen,Augsburg,2,1,H,2
D2,05/10/2008,Ahlen,Nurnberg,1,1,D,1
D2,05/10/2008,Greuther Furth,Osnabruck,4,2,H,3
D2,05/10/2008,Ingolstadt,Hansa Rostock,4,2,H,1
D2,05/10/2008,Koblenz,Kaiserslautern ,5,0,H,2
D2,05/10/2008,St Pauli,Aachen,3,2,H,2
D2,06/10/2008,Mainz,Wehen,5,0,H,2
D2,17/10/2008,Kaiserslautern,Ahlen,4,1,H,0
D2,17/10/2008,Nurnberg,Freiburg,2,0,H,0
D2,17/10/2008,Osnabruck,Oberhausen,2,1,H,1
D2,19/10/2008,Augsburg,St Pauli,3,2,H,0
D2,19/10/2008,Duisburg,Ingolstadt,6,1,H,2
D2,19/10/2008,Hansa Rostock,Koblenz,9,0,H,3
D2,19/10/2008,Munich 1860,Greuther Furth,3,1,H,0
D2,19/10/2008,Wehen,Frankfurt FSV,3,1,H,1
D2,20/10/2008,Aachen,Mainz,2,0,H,2
D2,24/10/2008,Ahlen,Freiburg,0,3,A,0
D2,24/10/2008,Frankfurt FSV,Hansa Rostock,0,0,D,0
D2,24/10/2008,Greuther Furth,Aachen,1,1,D,1
D2,24/10/2008,Ingolstadt,Augsburg,1,2,A,1
D2,24/10/2008,St Pauli,Wehen,2,0,H,0
D2,26/10/2008,Koblenz,Nurnberg,1,1,D,0
D2,26/10/2008,Mainz,Duisburg,0,0,D,0
D2,26/10/2008,Oberhausen,Kaiserslautern ,2,1,H,1
D2,26/10/2008,Osnabruck,Munich 1860,0,2,A,0
D2,28/10/2008,Aachen,Ahlen,0,2,A,0
D2,28/10/2008,Augsburg,Frankfurt FSV,2,2,D,1
D2,28/10/2008,Hansa Rostock,Greuther Furth,1,2,A,1
D2,28/10/2008,Wehen,Ingolstadt,0,0,D,0
D2,29/10/2008,Duisburg,St Pauli,1,2,A,0
D2,29/10/2008,Freiburg,Mainz,0,1,A,0
D2,29/10/2008,Kaiserslautern,Osnabruck,2,0,H,0
D2,29/10/2008,Munich 1860,Koblenz,1,0,H,0
D2,29/10/2008,Nurnberg,Oberhausen,2,1,H,2
D2,31/10/2008,Frankfurt FSV,Aachen,0,3,A,0
D2,31/10/2008,Greuther Furth,Wehen,1,1,D,0
D2,02/11/2008,Ahlen,Mainz,0,2,A,0
D2,02/11/2008,Ingolstadt,Freiburg,4,0,H,2
D2,02/11/2008,Koblenz,Duisburg,1,1,D,0
D2,02/11/2008,Oberhausen,Hansa Rostock,1,0,H,0
D2,02/11/2008,Osnabruck,Augsburg,1,1,D,1
D2,02/11/2008,St Pauli,Nurnberg,1,0,H,0
D2,03/11/2008,Kaiserslautern,Munich 1860,0,0,D,0
D2,07/11/2008,Aachen,Koblenz,2,0,H,2
D2,07/11/2008,Nurnberg,Frankfurt FSV,0,0,D,0
D2,07/11/2008,Wehen,Kaiserslautern ,4,2,H,0
D2,09/11/2008,Augsburg,Greuther Furth,1,1,D,0
D2,09/11/2008,Duisburg,Ahlen,0,1,A,0
D2,09/11/2008,Hansa Rostock,Osnabruck,2,2,D,2
D2,09/11/2008,Mainz,Ingolstadt,0,3,A,0
D2,09/11/2008,Munich 1860,Oberhausen,0,1,A,0
D2,10/11/2008,Freiburg,St Pauli,2,0,H,0
D2,14/11/2008,Munich 1860,Augsburg,0,1,A,0
D2,14/11/2008,Osnabruck,Wehen,1,1,D,1
D2,14/11/2008,St Pauli,Ahlen,2,2,D,2
D2,16/11/2008,Frankfurt FSV,Freiburg,1,2,A,0
D2,16/11/2008,Greuther Furth,Duisburg,4,3,H,1
D2,16/11/2008,Ingolstadt,Nurnberg,0,3,A,0
D2,16/11/2008,Koblenz,Mainz,0,3,A,0
D2,16/11/2008,Oberhausen,Aachen,1,1,D,1
D2,17/11/2008,Kaiserslautern,Hansa Rostock,6,0,H,2
D2,21/11/2008,Aachen,Osnabruck,3,1,H,0
D2,21/11/2008,Ahlen,Ingolstadt,3,0,H,0
D2,21/11/2008,Duisburg,Frankfurt FSV,0,0,D,0
D2,23/11/2008,Augsburg,Kaiserslautern ,1,0,H,1
D2,23/11/2008,Freiburg,Koblenz,1,1,D,0
D2,23/11/2008,Mainz,St Pauli,2,2,D,0
D2,23/11/2008,Nurnberg,Greuther Furth,2,1,H,0
D2,23/11/2008,Wehen,Oberhausen,0,0,D,0
