,Club,Elo
0,Man United,1890.83483887
1,Arsenal,1837.11804199
2,Chelsea,1786.4979248
3,Leeds,1752.13891602
4,Liverpool,1711.82995605
5,Sunderland,1694.51977539
6,Aston Villa,1659.31005859
7,West Ham,1654.88476562
8,Leicester,1644.92199707
9,Tottenham,1638.80603027
10,Derby,1636.19799805
11,Sheffield Weds,1634.80297852
12,Middlesbrough,1629.0814209
13,Coventry,1627.37890625
14,Newcastle,1626.98937988
15,Everton,1621.63232422
16,Southampton,1616.98803711
17,Wimbledon,1568.51269531
18,Bradford,1546.83679199
19,Watford,1513.68383789
