,Club,Elo
0,Man United,1796.84301758
1,Newcastle,1746.64880371
2,Liverpool,1721.08447266
3,Arsenal,1720.14172363
4,Aston Villa,1666.09143066
5,Chelsea,1631.8692627
6,Blackburn,1628.68859863
7,Wimbledon,1613.08178711
8,Sheffield Weds,1611.50061035
9,Tottenham,1606.09606934
10,Bolton,1592.50549316
11,West Ham,1590.32092285
12,Southampton,1589.1706543
13,Leeds,1588.4642334
14,Everton,1577.66174316
15,Coventry,1576.84680176
16,Leicester,1564.60327148
17,Derby,1554.61035156
18,Crystal Palace,1526.95092773
19,Barnsley,1486.00610352
