,Club,Country,Level,Elo
13,Man United,ENG,1,1796.84301758
25,Newcastle,ENG,1,1746.64880371
36,Liverpool,ENG,1,1721.08447266
37,Arsenal,ENG,1,1720.14172363
63,Aston Villa,ENG,1,1666.09143066
84,Chelsea,ENG,1,1631.8692627
89,Blackburn,ENG,1,1628.68859863
100,Wimbledon,ENG,1,1613.08178711
101,Sheffield Weds,ENG,1,1611.50061035
110,Tottenham,ENG,1,1606.09606934
122,Bolton,ENG,1,1592.50549316
123,West Ham,ENG,1,1590.32092285
124,Southampton,ENG,1,1589.1706543
125,Leeds,ENG,1,1588.4642334
131,Everton,ENG,1,1577.66174316
132,Coventry,ENG,1,1576.84680176
150,Leicester,ENG,1,1564.60327148
161,Derby,ENG,1,1554.61035156
186,Crystal Palace,ENG,1,1526.95092773
226,Barnsley,ENG,1,1486.00610352
