,Club,Elo
0,Liverpool,2050.22363281
1,Man City,2041.2755127
2,Tottenham,1894.81811523
3,Chelsea,1887.00634766
4,Arsenal,1870.88647461
5,Man United,1842.22912598
6,Everton,1773.66552734
7,Crystal Palace,1746.53588867
8,Leicester,1742.67431641
9,West Ham,1733.44763184
10,Wolves,1723.56420898
11,Newcastle,1719.58984375
12,Bournemouth,1694.89733887
13,Watford,1689.3125
14,Burnley,1685.66638184
15,Southampton,1677.78918457
16,Norwich,1634.67492676
17,Sheffield United,1623.56713867
18,Brighton,1620.26245117
19,Aston Villa,1616.20715332
