,Club,Elo
0,Man City,1973.63330078
1,Liverpool,1916.00183105
2,Tottenham,1913.52050781
3,Man United,1883.6060791
4,Chelsea,1835.67578125
5,Arsenal,1822.67285156
6,Everton,1698.23425293
7,Leicester,1696.16967773
8,Crystal Palace,1691.62329102
9,Burnley,1687.59155273
10,Bournemouth,1672.45214844
11,West Ham,1672.40441895
12,Newcastle,1669.54296875
13,Southampton,1652.17260742
14,Fulham,1632.47131348
15,Brighton,1631.54003906
16,Watford,1625.10693359
17,Wolves,1591.75073242
18,Cardiff,1575.1619873
19,Huddersfield,1565.77294922
