,Club,Elo
0,Chelsea,1967.36755371
1,Man United,1941.93151855
2,Liverpool,1881.80004883
3,Arsenal,1866.54577637
4,Tottenham,1800.42321777
5,Everton,1773.41333008
6,Blackburn,1754.65673828
7,Bolton,1729.74890137
8,Aston Villa,1729.41918945
9,Reading,1727.05810547
10,Newcastle,1714.01574707
11,Portsmouth,1713.02429199
12,Middlesbrough,1713.00280762
13,Man City,1666.96936035
14,West Ham,1662.49267578
15,Fulham,1655.67858887
16,Sunderland,1633.64538574
17,Wigan,1628.07751465
18,Birmingham,1620.84912109
19,Derby,1574.53271484
