,Club,Country,Level,Elo
6,Chelsea,ENG,1,1897.8079834
7,Man City,ENG,1,1889.32141113
10,Arsenal,ENG,1,1858.07507324
15,Man United,ENG,1,1817.18334961
24,Liverpool,ENG,1,1759.67346191
34,Tottenham,ENG,1,1737.52526855
38,Southampton,ENG,1,1715.6394043
39,Everton,ENG,1,1713.40625
42,Stoke,ENG,1,1705.15380859
56,Swansea,ENG,1,1677.45324707
72,Crystal Palace,ENG,1,1653.62658691
80,West Brom,ENG,1,1642.46325684
84,Leicester,ENG,1,1640.46936035
89,West Ham,ENG,1,1633.28942871
92,Norwich,ENG,1,1622.05249023
101,Sunderland,ENG,1,1611.97741699
103,Bournemouth,ENG,1,1601.44689941
107,Newcastle,ENG,1,1594.46569824
111,Aston Villa,ENG,1,1584.74621582
113,Watford,ENG,1,1580.93237305
