,Club,Elo
0,Arsenal,1903.2043457
1,Man United,1850.66540527
2,Chelsea,1838.18664551
3,Liverpool,1773.29626465
4,Newcastle,1770.78222656
5,Aston Villa,1707.40441895
6,Fulham,1692.62634277
7,Bolton,1673.30163574
8,Charlton,1664.98071289
9,Blackburn,1662.03894043
10,Middlesbrough,1659.70080566
11,Southampton,1659.44433594
12,Man City,1653.60412598
13,Birmingham,1651.32995605
14,Portsmouth,1640.24365234
15,Tottenham,1639.87585449
16,Everton,1626.94494629
17,Norwich,1598.22827148
18,Crystal Palace,1548.5369873
19,West Brom,1544.78540039
