,Club,Elo
0,Man City,1849.89489746
1,Arsenal,1841.41027832
2,Leicester,1812.9921875
3,Tottenham,1805.58154297
4,Liverpool,1801.5480957
5,Chelsea,1794.53747559
6,Man United,1790.07531738
7,Southampton,1779.85192871
8,West Ham,1721.77453613
9,Everton,1696.51647949
10,Swansea,1689.38525391
11,Stoke,1683.14038086
12,Sunderland,1656.88525391
13,West Brom,1646.80688477
14,Burnley,1638.26806641
15,Crystal Palace,1635.0982666
16,Watford,1625.20739746
17,Bournemouth,1621.22033691
18,Middlesbrough,1596.31188965
19,Hull,1590.39746094
