,Club,Country,Level,Elo
3,Man United,ENG,1,1887.80456543
4,Arsenal,ENG,1,1882.88989258
6,Liverpool,ENG,1,1873.35571289
16,Leeds,ENG,1,1780.51989746
19,Chelsea,ENG,1,1775.4440918
24,Newcastle,ENG,1,1764.67175293
60,Aston Villa,ENG,1,1685.53857422
64,West Ham,ENG,1,1678.90698242
68,Blackburn,ENG,1,1673.32922363
69,Tottenham,ENG,1,1673.14111328
70,Southampton,ENG,1,1671.3494873
81,Man City,ENG,1,1653.81079102
82,Middlesbrough,ENG,1,1653.53222656
87,Charlton,ENG,1,1648.57446289
101,Fulham,ENG,1,1636.84643555
102,Sunderland,ENG,1,1636.36364746
104,Everton,ENG,1,1633.16320801
128,Bolton,ENG,1,1598.36950684
135,West Brom,ENG,1,1586.45263672
166,Birmingham,ENG,1,1559.81323242
