,Club,Elo
0,Man United,1788.7722168
1,Liverpool,1733.42602539
2,Newcastle,1722.61047363
3,Blackburn,1694.1003418
4,Arsenal,1684.609375
5,Everton,1670.01403809
6,Tottenham,1667.76721191
7,Forest,1651.77893066
8,Aston Villa,1645.63537598
9,Chelsea,1609.00280762
10,West Ham,1598.97277832
11,Wimbledon,1585.34375
12,Leeds,1572.65222168
13,Coventry,1567.7878418
14,Southampton,1565.6842041
15,Sheffield Weds,1558.31750488
16,Middlesbrough,1524.12939453
17,Sunderland,1514.74243164
18,Derby,1513.98950195
19,Leicester,1486.60217285
