,Club,Elo
0,Man City,1953.60534668
1,Chelsea,1916.96533203
2,Liverpool,1898.12426758
3,Arsenal,1863.55834961
4,Man United,1856.91870117
5,Everton,1826.75085449
6,Tottenham,1799.15063477
7,Southampton,1717.09216309
8,Stoke,1696.96386719
9,Swansea,1671.23815918
10,West Ham,1662.20593262
11,Newcastle,1649.03466797
12,Sunderland,1645.95446777
13,Leicester,1637.72839355
14,West Brom,1632.92822266
15,Crystal Palace,1625.31750488
16,Aston Villa,1616.44152832
17,Burnley,1611.80395508
18,QPR,1575.99438477
19,Hull,1572.31066895
