,Club,Elo
0,Chelsea,1909.07751465
1,Tottenham,1887.18969727
2,Man City,1866.48486328
3,Man United,1857.4798584
4,Arsenal,1847.96435547
5,Liverpool,1837.09350586
6,Everton,1750.21777344
7,Leicester,1716.67285156
8,Southampton,1691.7442627
9,West Ham,1672.2331543
10,Stoke,1662.29174805
11,Bournemouth,1653.4354248
12,Swansea,1649.04797363
13,West Brom,1644.80932617
14,Crystal Palace,1642.5402832
15,Burnley,1628.66638184
16,Newcastle,1622.85705566
17,Watford,1603.34594727
18,Brighton,1583.4777832
19,Huddersfield,1475.47729492
