,Club,Elo
0,Chelsea,1940.9510498
1,Arsenal,1894.44238281
2,Man United,1881.11254883
3,Liverpool,1864.28198242
4,Tottenham,1760.52185059
5,Newcastle,1750.85705566
6,Blackburn,1748.34692383
7,Bolton,1727.86791992
8,Middlesbrough,1719.82128906
9,Fulham,1680.68579102
10,Everton,1677.62902832
11,Reading,1671.06726074
12,Man City,1663.19689941
13,Aston Villa,1661.11169434
14,West Ham,1655.12280273
15,Charlton,1653.61364746
16,Wigan,1642.17321777
17,Portsmouth,1636.95153809
18,Watford,1580.59521484
19,Sheffield United,1569.50878906
