,Club,Country,Level,Elo
2,Man City,ENG,1,1973.61560059
6,Liverpool,ENG,1,1915.98413086
7,Tottenham,ENG,1,1913.50280762
8,Man United,ENG,1,1883.58837891
12,Chelsea,ENG,1,1835.65820312
13,Arsenal,ENG,1,1822.65515137
45,Everton,ENG,1,1698.21655273
46,Leicester,ENG,1,1696.15197754
48,Crystal Palace,ENG,1,1691.60559082
51,Burnley,ENG,1,1687.52050781
56,Bournemouth,ENG,1,1672.43444824
57,West Ham,ENG,1,1672.38671875
58,Newcastle,ENG,1,1669.52526855
68,Southampton,ENG,1,1652.15490723
75,Fulham,ENG,1,1632.45361328
77,Brighton,ENG,1,1631.52233887
80,Watford,ENG,1,1625.0892334
100,Wolves,ENG,1,1591.73303223
119,Cardiff,ENG,1,1575.14428711
128,Huddersfield,ENG,1,1565.75524902
