,Club,Elo
0,Liverpool,2000.66516113
1,Man City,1993.57592773
2,Man United,1879.6875
3,Chelsea,1828.70251465
4,Tottenham,1816.74682617
5,Arsenal,1808.55810547
6,Wolves,1787.34289551
7,Leicester,1767.01916504
8,Burnley,1731.73693848
9,Southampton,1729.24536133
10,Everton,1724.97375488
11,Sheffield United,1702.71057129
12,West Ham,1694.79833984
13,Newcastle,1686.59765625
14,Crystal Palace,1682.72290039
15,Brighton,1662.6652832
16,Watford,1654.72167969
17,Bournemouth,1638.72631836
18,Aston Villa,1627.28820801
19,Norwich,1542.53930664
