,Club,Elo
0,Man United,1957.59472656
1,Chelsea,1950.50964355
2,Arsenal,1869.0559082
3,Liverpool,1849.0769043
4,Tottenham,1787.00732422
5,Man City,1782.37585449
6,Everton,1780.9095459
7,Aston Villa,1763.48010254
8,Fulham,1723.43395996
9,Blackburn,1698.71691895
10,Newcastle,1690.29370117
11,Stoke,1666.1027832
12,Sunderland,1645.00720215
13,Birmingham,1644.78112793
14,West Ham,1641.1451416
15,West Brom,1631.7310791
16,Bolton,1625.10864258
17,Wolves,1606.36120605
18,Wigan,1598.578125
19,Blackpool,1551.85913086
