,Club,Elo
0,Man United,1799.97460938
1,Aston Villa,1703.48010254
2,Arsenal,1679.50732422
3,QPR,1676.08276367
4,Liverpool,1673.29125977
5,Blackburn,1665.85314941
6,Sheffield Weds,1664.30554199
7,Man City,1663.36169434
8,Wimbledon,1658.5032959
9,Sheffield United,1655.93005371
10,Leeds,1647.66345215
11,Tottenham,1643.00927734
12,Norwich,1636.97106934
13,Everton,1636.08813477
14,Chelsea,1623.84680176
15,Oldham,1608.17468262
16,Southampton,1608.05737305
17,Coventry,1596.0802002
18,West Ham,1579.52331543
19,Ipswich,1572.60229492
20,Newcastle,1566.33337402
21,Swindon,1518.48815918
