,Club,Elo
0,Man City,1917.81616211
1,Man United,1913.16894531
2,Chelsea,1851.68713379
3,Arsenal,1826.90942383
4,Tottenham,1796.20385742
5,Everton,1777.80273438
6,Newcastle,1746.84936523
7,Liverpool,1742.18920898
8,Fulham,1711.97363281
9,West Brom,1676.95251465
10,Sunderland,1668.60009766
11,Wigan,1666.11987305
12,Aston Villa,1657.62158203
13,Stoke,1657.29638672
14,Swansea,1650.16052246
15,West Ham,1639.59619141
16,Reading,1628.41381836
17,Norwich,1625.82592773
18,QPR,1600.13977051
19,Southampton,1559.17553711
