,Club,Elo
0,Chelsea,1958.20678711
1,Arsenal,1911.86584473
2,Man United,1862.81445312
3,Liverpool,1814.71948242
4,Bolton,1736.26953125
5,Man City,1725.17553711
6,Newcastle,1723.82214355
7,Middlesbrough,1719.01550293
8,Tottenham,1705.45385742
9,Everton,1702.64233398
10,Fulham,1692.27978516
11,Aston Villa,1690.46459961
12,Blackburn,1682.24975586
13,Birmingham,1679.93078613
14,Charlton,1657.03857422
15,Portsmouth,1638.73547363
16,Sunderland,1628.41601562
17,West Brom,1617.52819824
18,Wigan,1600.52880859
19,West Ham,1573.54394531
