,Club,Country,Level,Elo
5,Chelsea,ENG,1,1909.06420898
6,Tottenham,ENG,1,1887.17651367
9,Man City,ENG,1,1866.47155762
12,Man United,ENG,1,1857.46655273
13,Arsenal,ENG,1,1847.9510498
15,Liverpool,ENG,1,1837.0802002
23,Everton,ENG,1,1750.16479492
38,Leicester,ENG,1,1716.6595459
51,Southampton,ENG,1,1691.73095703
59,West Ham,ENG,1,1672.21984863
63,Stoke,ENG,1,1662.27844238
68,Bournemouth,ENG,1,1653.42211914
73,Swansea,ENG,1,1649.03479004
76,West Brom,ENG,1,1644.79602051
78,Crystal Palace,ENG,1,1642.52697754
87,Burnley,ENG,1,1628.65307617
93,Newcastle,ENG,1,1622.84375
100,Watford,ENG,1,1603.3326416
114,Brighton,ENG,1,1583.46447754
226,Huddersfield,ENG,1,1475.46398926
