,Club,Country,Level,Elo
0,Chelsea,ENG,1,1958.19152832
1,Arsenal,ENG,1,1911.85058594
8,Man United,ENG,1,1862.79919434
12,Liverpool,ENG,1,1814.6595459
24,Bolton,ENG,1,1736.25427246
32,Man City,ENG,1,1725.16027832
35,Newcastle,ENG,1,1723.80688477
38,Middlesbrough,ENG,1,1719.00024414
45,Tottenham,ENG,1,1705.43859863
48,Everton,ENG,1,1702.6270752
54,Fulham,ENG,1,1692.26452637
57,Aston Villa,ENG,1,1690.44934082
62,Blackburn,ENG,1,1682.23449707
64,Birmingham,ENG,1,1679.91552734
84,Charlton,ENG,1,1657.02331543
92,Portsmouth,ENG,1,1638.72021484
101,Sunderland,ENG,1,1628.40075684
113,West Brom,ENG,1,1617.51293945
127,Wigan,ENG,1,1600.5135498
149,West Ham,ENG,1,1573.52880859
