,Club,Elo
0,Man United,1873.11169434
1,Liverpool,1872.5246582
2,Leeds,1840.6060791
3,Arsenal,1817.45812988
4,Chelsea,1791.65625
5,Ipswich,1741.00292969
6,Sunderland,1729.95019531
7,Aston Villa,1722.63476562
8,Newcastle,1701.97509766
9,Middlesbrough,1696.77490234
10,Tottenham,1678.93066406
11,Southampton,1674.70544434
12,Charlton,1670.40124512
13,West Ham,1655.6418457
14,Everton,1653.67431641
15,Leicester,1640.19458008
16,Derby,1633.42248535
17,Blackburn,1632.51293945
18,Fulham,1630.26330566
19,Bolton,1602.11682129
