,Club,Country,Level,Elo
1,Man United,ENG,1,1918.55163574
5,Arsenal,ENG,1,1860.82592773
17,Liverpool,ENG,1,1789.12780762
22,Chelsea,ENG,1,1772.52416992
23,Newcastle,ENG,1,1764.37609863
36,Blackburn,ENG,1,1724.33361816
51,Leeds,ENG,1,1705.9666748
67,Southampton,ENG,1,1675.32800293
70,Everton,ENG,1,1671.84204102
78,Middlesbrough,ENG,1,1662.45568848
79,Aston Villa,ENG,1,1660.47546387
80,Man City,ENG,1,1659.72167969
87,Fulham,ENG,1,1651.28430176
94,Bolton,ENG,1,1641.23498535
99,Charlton,ENG,1,1636.1907959
102,Tottenham,ENG,1,1630.81848145
103,Birmingham,ENG,1,1630.49645996
119,Leicester,ENG,1,1601.06713867
128,Wolves,ENG,1,1596.06420898
132,Portsmouth,ENG,1,1585.75280762
