,Club,Elo
0,Man United,1908.71166992
1,Chelsea,1884.5333252
2,Man City,1864.78564453
3,Arsenal,1844.22961426
4,Tottenham,1828.79443359
5,Everton,1788.06201172
6,Liverpool,1782.26953125
7,West Brom,1664.62927246
8,Newcastle,1661.50488281
9,Fulham,1659.09155273
10,West Ham,1657.51696777
11,Swansea,1654.31884766
12,Aston Villa,1652.21276855
13,Norwich,1646.39819336
14,Stoke,1641.90490723
15,Sunderland,1639.96472168
16,Southampton,1626.90161133
17,Cardiff,1567.67370605
18,Crystal Palace,1509.17358398
19,Hull,1508.17736816
