,Club,Elo
0,Man United,1947.59838867
1,Chelsea,1879.3828125
2,Arsenal,1832.33312988
3,Man City,1808.6361084
4,Tottenham,1799.38452148
5,Liverpool,1790.42150879
6,Everton,1766.40332031
7,Fulham,1732.48535156
8,Aston Villa,1714.90991211
9,Newcastle,1692.80090332
10,Stoke,1680.46765137
11,Blackburn,1672.13745117
12,West Brom,1662.34631348
13,Sunderland,1652.68981934
14,Bolton,1647.30773926
15,Wigan,1640.7479248
16,Wolves,1619.73730469
17,Swansea,1587.32312012
18,QPR,1566.06616211
19,Norwich,1555.11853027
