,Club,Country,Level,Elo
1,Man United,ENG,1,1957.53771973
2,Chelsea,ENG,1,1950.45263672
6,Arsenal,ENG,1,1868.9987793
7,Liverpool,ENG,1,1848.83557129
16,Tottenham,ENG,1,1786.95031738
21,Man City,ENG,1,1782.31884766
22,Everton,ENG,1,1780.85253906
26,Aston Villa,ENG,1,1763.42297363
41,Fulham,ENG,1,1723.37695312
46,Blackburn,ENG,1,1698.65991211
51,Newcastle,ENG,1,1690.23669434
66,Stoke,ENG,1,1666.04577637
81,Sunderland,ENG,1,1644.95019531
82,Birmingham,ENG,1,1644.72412109
86,West Ham,ENG,1,1641.08813477
95,West Brom,ENG,1,1631.67407227
101,Bolton,ENG,1,1625.05163574
117,Wolves,ENG,1,1606.30419922
121,Wigan,ENG,1,1598.52099609
154,Blackpool,ENG,1,1551.80212402
