,Club,Elo
0,Man United,1918.55163574
1,Arsenal,1860.82592773
2,Liverpool,1789.12780762
3,Chelsea,1772.52416992
4,Newcastle,1764.37609863
5,Blackburn,1724.33361816
6,Leeds,1705.9666748
7,Southampton,1675.32800293
8,Everton,1671.84204102
9,Middlesbrough,1662.45568848
10,Aston Villa,1660.47546387
11,Man City,1659.72167969
12,Fulham,1651.28430176
13,Bolton,1641.23498535
14,Charlton,1636.1907959
15,Tottenham,1630.81848145
16,Birmingham,1630.49645996
17,Leicester,1601.06713867
18,Wolves,1596.06420898
19,Portsmouth,1585.75280762
