,Club,Elo
0,Chelsea,1893.43798828
1,Man City,1884.95141602
2,Arsenal,1853.70495605
3,Man United,1812.81335449
4,Liverpool,1755.30334473
5,Tottenham,1733.15515137
6,Southampton,1717.72595215
7,Everton,1709.03625488
8,Stoke,1700.78381348
9,Swansea,1673.08325195
10,Crystal Palace,1649.2565918
11,West Brom,1638.09326172
12,Leicester,1636.09936523
13,Norwich,1617.68249512
14,West Ham,1609.11865234
15,Sunderland,1607.60742188
16,Bournemouth,1597.0769043
17,Newcastle,1590.09570312
18,Aston Villa,1580.3762207
19,Watford,1576.56237793
