,Club,Elo
0,Man United,1859.00964355
1,Arsenal,1796.94238281
2,Blackburn,1776.24157715
3,Newcastle,1761.42138672
4,Leeds,1757.82556152
5,Sheffield Weds,1747.75939941
6,Wimbledon,1723.29284668
7,QPR,1688.35437012
8,Liverpool,1684.11206055
9,Coventry,1672.02783203
10,Norwich,1670.34448242
11,Chelsea,1666.55578613
12,Aston Villa,1666.51330566
13,Man City,1659.78808594
14,West Ham,1647.55358887
15,Tottenham,1631.32397461
16,Crystal Palace,1628.3190918
17,Southampton,1621.13623047
18,Forest,1620.71008301
19,Everton,1608.97595215
20,Ipswich,1583.34289551
21,Leicester,1551.67028809
