,Club,Country,Level,Elo
7,Man City,ENG,1,1851.03735352
9,Arsenal,ENG,1,1842.55285645
12,Leicester,ENG,1,1814.13464355
15,Tottenham,ENG,1,1806.72412109
18,Liverpool,ENG,1,1802.69055176
19,Chelsea,ENG,1,1795.67993164
20,Man United,ENG,1,1791.21789551
23,Southampton,ENG,1,1780.99450684
34,West Ham,ENG,1,1726.40673828
46,Everton,ENG,1,1697.65905762
52,Swansea,ENG,1,1690.52783203
54,Stoke,ENG,1,1684.28295898
67,Sunderland,ENG,1,1658.02783203
79,West Brom,ENG,1,1647.94946289
84,Burnley,ENG,1,1639.41064453
86,Crystal Palace,ENG,1,1636.24084473
90,Watford,ENG,1,1626.34997559
93,Bournemouth,ENG,1,1622.36291504
106,Middlesbrough,ENG,1,1597.4543457
109,Hull,ENG,1,1591.54003906
