,Club,Country,Level,Elo
0,Man United,ENG,1,1995.64465332
1,Liverpool,ENG,1,1979.56164551
2,Chelsea,ENG,1,1976.2590332
4,Arsenal,ENG,1,1894.8548584
14,Everton,ENG,1,1826.15576172
25,Aston Villa,ENG,1,1747.9654541
27,Tottenham,ENG,1,1742.94238281
30,Fulham,ENG,1,1733.57055664
39,Man City,ENG,1,1718.44702148
40,West Ham,ENG,1,1717.32141113
51,Blackburn,ENG,1,1693.72998047
64,Portsmouth,ENG,1,1666.55395508
65,Bolton,ENG,1,1665.67175293
69,Wigan,ENG,1,1660.17541504
81,Stoke,ENG,1,1646.09655762
105,Sunderland,ENG,1,1618.62011719
112,Birmingham,ENG,1,1608.2767334
123,Wolves,ENG,1,1594.4473877
134,Hull,ENG,1,1580.84106445
139,Burnley,ENG,1,1575.97167969
