,Club,Country,Level,Elo
5,Man United,ENG,1,1873.11169434
6,Liverpool,ENG,1,1872.5246582
11,Leeds,ENG,1,1840.6060791
13,Arsenal,ENG,1,1817.45812988
15,Chelsea,ENG,1,1791.65625
33,Ipswich,ENG,1,1741.00292969
35,Sunderland,ENG,1,1729.95019531
45,Aston Villa,ENG,1,1722.63476562
56,Newcastle,ENG,1,1701.97509766
58,Middlesbrough,ENG,1,1696.77490234
64,Tottenham,ENG,1,1678.93066406
67,Southampton,ENG,1,1674.70544434
70,Charlton,ENG,1,1670.40124512
80,West Ham,ENG,1,1655.6418457
81,Everton,ENG,1,1653.67431641
96,Leicester,ENG,1,1640.19458008
99,Derby,ENG,1,1633.42248535
100,Blackburn,ENG,1,1632.51293945
101,Fulham,ENG,1,1630.26330566
131,Bolton,ENG,1,1602.11682129
