,Club,Country,Level,Elo
1,Arsenal,ENG,1,1903.2043457
7,Man United,ENG,1,1850.66540527
9,Chelsea,ENG,1,1838.18664551
22,Liverpool,ENG,1,1773.29626465
23,Newcastle,ENG,1,1770.78222656
52,Aston Villa,ENG,1,1707.40441895
57,Fulham,ENG,1,1692.62634277
69,Bolton,ENG,1,1673.30163574
73,Charlton,ENG,1,1664.98071289
75,Blackburn,ENG,1,1662.03894043
77,Middlesbrough,ENG,1,1659.70080566
78,Southampton,ENG,1,1659.44433594
80,Man City,ENG,1,1653.60412598
81,Birmingham,ENG,1,1651.32995605
87,Portsmouth,ENG,1,1640.24365234
89,Tottenham,ENG,1,1639.87585449
98,Everton,ENG,1,1626.94494629
118,Norwich,ENG,1,1598.22827148
169,Crystal Palace,ENG,1,1548.5369873
175,West Brom,ENG,1,1544.78540039
