,Club,Elo
0,Man City,2012.76818848
1,Liverpool,1940.19763184
2,Man United,1925.87194824
3,Chelsea,1923.20202637
4,Arsenal,1866.67456055
5,Tottenham,1831.75012207
6,West Ham,1810.99633789
7,Leicester,1801.89501953
8,Leeds,1783.74121094
9,Everton,1771.19372559
10,Aston Villa,1747.11230469
11,Wolves,1738.54443359
12,Newcastle,1724.89587402
13,Brighton,1720.88342285
14,Burnley,1709.37329102
15,Southampton,1700.75109863
16,Crystal Palace,1693.30944824
17,Watford,1673.33557129
18,Brentford,1671.97888184
19,Norwich,1655.1998291
