,Club,Country,Level,Elo
4,Man United,ENG,1,1908.71166992
6,Chelsea,ENG,1,1884.5333252
7,Man City,ENG,1,1864.78564453
9,Arsenal,ENG,1,1844.22961426
14,Tottenham,ENG,1,1828.79443359
19,Everton,ENG,1,1788.06201172
20,Liverpool,ENG,1,1782.26953125
66,West Brom,ENG,1,1664.62927246
69,Newcastle,ENG,1,1661.50488281
75,Fulham,ENG,1,1659.09155273
79,West Ham,ENG,1,1657.51696777
83,Swansea,ENG,1,1654.31884766
84,Aston Villa,ENG,1,1652.21276855
85,Norwich,ENG,1,1646.39819336
86,Stoke,ENG,1,1641.90490723
88,Sunderland,ENG,1,1639.96472168
94,Southampton,ENG,1,1626.90161133
132,Cardiff,ENG,1,1567.67370605
195,Crystal Palace,ENG,1,1509.17358398
196,Hull,ENG,1,1508.17736816
