,Club,Elo
0,Man United,1887.80456543
1,Arsenal,1882.88989258
2,Liverpool,1873.35571289
3,Leeds,1780.51989746
4,Chelsea,1775.4440918
5,Newcastle,1764.67175293
6,Aston Villa,1685.53857422
7,West Ham,1678.90698242
8,Blackburn,1673.32922363
9,Tottenham,1673.14111328
10,Southampton,1671.3494873
11,Man City,1653.81079102
12,Middlesbrough,1653.53222656
13,Charlton,1648.57446289
14,Fulham,1636.84643555
15,Sunderland,1636.36364746
16,Everton,1633.16320801
17,Bolton,1598.36950684
18,West Brom,1586.45263672
19,Birmingham,1559.81323242
